# Example animation CSV file for Pupper V3 (12 joints)
# Each row is a keyframe, each column is a joint position (radians)
# Joint order: leg_front_r_1, leg_front_r_2, leg_front_r_3, leg_front_l_1, leg_front_l_2, leg_front_l_3, leg_back_r_1, leg_back_r_2, leg_back_r_3, leg_back_l_1, leg_back_l_2, leg_back_l_3
# Frame 0: Default neural controller standing position  
0.26, 0.0, -0.52, -0.26, 0.0, 0.52, 0.26, 0.0, -0.52, -0.26, 0.0, 0.52
# Frame 1: Sit preparation - rear legs start to bend
0.26, 0.0, -0.52, -0.26, 0.0, 0.52, 0.26, 0.5, -1.2, -0.26, 0.5, 1.2
# Frame 2: Full sit - rear legs fully bent, front legs extended
0.26, -0.3, -0.2, -0.26, -0.3, 0.2, 0.26, 1.0, -2.0, -0.26, 1.0, 2.0
# Frame 3: Hold sitting position
0.26, -0.3, -0.2, -0.26, -0.3, 0.2, 0.26, 1.0, -2.0, -0.26, 1.0, 2.0
# Frame 4: Return to sit preparation
0.26, 0.0, -0.52, -0.26, 0.0, 0.52, 0.26, 0.5, -1.2, -0.26, 0.5, 1.2
# Frame 5: Return to neutral standing
0.26, 0.0, -0.52, -0.26, 0.0, 0.52, 0.26, 0.0, -0.52, -0.26, 0.0, 0.52
